Gene,GFPneg_Rep1,GFPpos_Rep1,GFPneg_Rep2,GFPpos_Rep2
NBR1,814,3947,948,2428
NCALD,229,432,296,1256
NCAM1,526,8169,195,9928
NCAM2,3,2,7,1
NCAN,2,0,31,0
NCAPD2,245,973,568,886
NCAPD3,227,925,424,974
NCAPG,220,467,483,1143
NCAPG2,171,487,390,480
NCAPH,188,247,265,372
NCAPH2,261,737,421,1366
NCBP1,501,1523,479,1168
NCBP2,742,2381,1037,3576
NCBP2L,0,0,4,0
NCBP3,84,540,95,293
NCDN,47,438,110,120
NCEH1,149,435,161,906
NCF1,2258,559,2404,704
NCF2,446,364,645,334
NCF4,685,222,1066,318
NCK1,389,1750,438,3335
NCK2,101,349,141,389
NCKAP1,309,1852,104,1297
NCKAP5L,100,483,146,238
NCKIPSD,34,159,86,70
NCL,952,3469,1645,6221
NCLN,458,1514,530,689
NCMAP,86,79,34,71
NCOA1,220,1067,303,1360
NCOA2,596,1957,576,1186
NCOA3,540,1761,751,979
NCOA4,1093,4091,1030,4487
NCOA5,316,1769,315,796
NCOA6,275,1812,347,907
NCOA7,260,813,376,1115
NCOR2,246,2198,294,1391
NCR1,203,48,618,178
NCS1,6,71,38,76
NCSTN,276,2097,480,1857
ND1,334,707,825,1287
ND2,577,890,1286,1305
ND3,334,950,869,1809
ND4,4793,13893,13610,29679
ND4L,116,199,286,510
ND5,2142,5350,6323,10027
ND6,166,401,480,786
NDC1,89,241,223,466
NDC80,103,193,228,965
NDE1,154,1165,222,1703
NDEL1,1087,2141,1429,1424
NDFIP1,647,2951,487,1573
NDFIP2,454,1201,579,806
NDN,189,2000,51,865
NDNF,1020,14314,90,10681
NDP,16,281,22,184
NDRG1,362,1450,905,873
NDRG2,526,3950,289,3447
NDRG4,90,532,92,279
NDST1,45,223,57,110
NDST3,32,15,53,2
NDST4,1,0,24,0
NDUFA1,255,1238,403,2331
NDUFA10,358,1317,667,648
NDUFA11,299,1619,382,3386
NDUFA13,429,2004,720,2082
NDUFA2,436,1555,802,3463
NDUFA4,534,2493,724,4696
NDUFA4L2,48,98,27,152
NDUFA5,305,844,402,2150
NDUFA6,228,1128,339,1558
NDUFA8,352,1178,379,2619
NDUFA9,540,1699,854,3105
